果树种类,基地名称,横排,纵排,总价,重量,浇水,施肥,除草,除虫
百香果树,基地名称一,1,1,1001,101,20,30,30,20
百香果树,基地名称一,1,2,1002,102,25,25,25,25
百香果树,基地名称一,1,3,1003,103,40,40,10,10
百香果树,基地名称一,1,4,1004,104,20,30,30,20
百香果树,基地名称一,1,5,1005,105,25,25,25,25
百香果树,基地名称一,1,6,1006,106,40,40,10,10
百香果树,基地名称一,1,7,1007,107,20,30,30,20
百香果树,基地名称一,1,8,1008,108,25,25,25,25
百香果树,基地名称一,1,9,1009,109,40,40,10,10
百香果树,基地名称一,1,10,1010,110,20,30,30,20
百香果树,基地名称一,1,11,1011,111,25,25,25,25
百香果树,基地名称一,1,12,1012,112,40,40,10,10
百香果树,基地名称一,1,13,1013,113,20,30,30,20
百香果树,基地名称一,1,14,1014,114,25,25,25,25
百香果树,基地名称一,1,15,1015,115,40,40,10,10
百香果树,基地名称一,1,16,1016,116,20,30,30,20
百香果树,基地名称一,1,17,1017,117,25,25,25,25
百香果树,基地名称一,1,18,1018,118,40,40,10,10
百香果树,基地名称一,1,19,1019,119,20,30,30,20
百香果树,基地名称一,1,20,1020,120,25,25,25,25
百香果树,基地名称一,1,21,1021,121,40,40,10,10
百香果树,基地名称一,1,22,1022,122,20,30,30,20
百香果树,基地名称一,1,23,1023,123,25,25,25,25
百香果树,基地名称一,1,24,1024,124,40,40,10,10
百香果树,基地名称一,1,25,1025,125,20,30,30,20
百香果树,基地名称一,1,26,1026,126,25,25,25,25
百香果树,基地名称一,1,27,1027,127,40,40,10,10
百香果树,基地名称一,1,28,1028,128,20,30,30,20
百香果树,基地名称一,1,29,1029,129,25,25,25,25
百香果树,基地名称一,1,30,1030,130,40,40,10,10
百香果树,基地名称一,1,31,1031,131,20,30,30,20
百香果树,基地名称一,1,32,1032,132,25,25,25,25
百香果树,基地名称一,1,33,1033,133,40,40,10,10
百香果树,基地名称一,1,34,1034,134,20,30,30,20
百香果树,基地名称一,1,35,1035,135,25,25,25,25
百香果树,基地名称一,1,36,1036,136,40,40,10,10
百香果树,基地名称一,1,37,1037,137,20,30,30,20
百香果树,基地名称一,1,38,1038,138,25,25,25,25
百香果树,基地名称一,1,39,1039,139,40,40,10,10
百香果树,基地名称一,1,40,1040,140,20,30,30,20
百香果树,基地名称一,1,41,1041,141,25,25,25,25
百香果树,基地名称一,1,42,1042,142,40,40,10,10
百香果树,基地名称一,1,43,1043,143,20,30,30,20
百香果树,基地名称一,1,44,1044,144,25,25,25,25
百香果树,基地名称一,1,45,1045,145,40,40,10,10
百香果树,基地名称一,1,46,1046,146,20,30,30,20
百香果树,基地名称一,1,47,1047,147,25,25,25,25
百香果树,基地名称一,1,48,1048,148,40,40,10,10
百香果树,基地名称一,1,49,1049,149,20,30,30,20
百香果树,基地名称一,1,50,1050,150,25,25,25,25
红心芭乐,基地名称一,2,1,2001,201,40,40,10,10
红心芭乐,基地名称一,2,2,2002,202,20,30,30,20
红心芭乐,基地名称一,2,3,2003,203,25,25,25,25
红心芭乐,基地名称一,2,4,2004,204,40,40,10,10
红心芭乐,基地名称一,2,5,2005,205,20,30,30,20
红心芭乐,基地名称一,2,6,2006,206,25,25,25,25
红心芭乐,基地名称一,2,7,2007,207,40,40,10,10
红心芭乐,基地名称一,2,8,2008,208,20,30,30,20
红心芭乐,基地名称一,2,9,2009,209,25,25,25,25
