果树种类,基地名称,横排,纵排,总价,重量,浇水,施肥,除草,除虫,套袋,剪枝
百香果树,基地名称一,1,1,1001,101,20,30,20,30,101,101
红心芭乐,基地名称一,1,2,1002,102,30,40,10,20,102,102
百香果树,基地名称一,1,3,1003,103,20,10,30,40,103,103
红心芭乐,基地名称一,1,4,1004,104,20,30,20,30,104,104
百香果树,基地名称一,1,5,1005,105,30,40,10,20,105,105
红心芭乐,基地名称一,1,6,1006,106,20,10,30,40,106,106
百香果树,基地名称一,1,7,1007,107,20,30,20,30,107,107
红心芭乐,基地名称一,1,8,1008,108,30,40,10,20,108,108
百香果树,基地名称一,1,9,1009,109,20,10,30,40,109,109
红心芭乐,基地名称一,1,10,1010,110,20,30,20,30,110,110
百香果树,基地名称一,1,11,1011,111,30,40,10,20,111,111
红心芭乐,基地名称一,1,12,1012,112,20,10,30,40,112,112
百香果树,基地名称一,1,13,1013,113,20,30,20,30,113,113
红心芭乐,基地名称一,1,14,1014,114,30,40,10,20,114,114
百香果树,基地名称一,1,15,1015,115,20,10,30,40,115,115
红心芭乐,基地名称一,1,16,1016,116,20,30,20,30,116,116
百香果树,基地名称一,1,17,1017,117,30,40,10,20,117,117
红心芭乐,基地名称一,1,18,1018,118,20,10,30,40,118,118
百香果树,基地名称一,1,19,1019,119,20,30,20,30,119,119
红心芭乐,基地名称一,1,20,1020,120,30,40,10,20,120,120
百香果树,基地名称一,1,21,1021,121,20,10,30,40,121,121
红心芭乐,基地名称一,1,22,1022,122,20,30,20,30,122,122
百香果树,基地名称一,1,23,1023,123,30,40,10,20,123,123
红心芭乐,基地名称一,1,24,1024,124,20,10,30,40,124,124
百香果树,基地名称一,1,25,1025,125,20,30,20,30,125,125
红心芭乐,基地名称一,1,26,1026,126,30,40,10,20,126,126
百香果树,基地名称一,1,27,1027,127,20,10,30,40,127,127
红心芭乐,基地名称一,1,28,1028,128,20,30,20,30,128,128
百香果树,基地名称一,1,29,1029,129,30,40,10,20,129,129
红心芭乐,基地名称一,1,30,1030,130,20,10,30,40,130,130
百香果树,基地名称一,1,31,1031,131,20,30,20,30,131,131
红心芭乐,基地名称一,1,32,1032,132,30,40,10,20,132,132
百香果树,基地名称一,1,33,1033,133,20,10,30,40,133,133
红心芭乐,基地名称一,1,34,1034,134,20,30,20,30,134,134
百香果树,基地名称一,1,35,1035,135,30,40,10,20,135,135
红心芭乐,基地名称一,1,36,1036,136,20,10,30,40,136,136
百香果树,基地名称一,1,37,1037,137,20,30,20,30,137,137
红心芭乐,基地名称一,1,38,1038,138,30,40,10,20,138,138
百香果树,基地名称一,1,39,1039,139,20,10,30,40,139,139
红心芭乐,基地名称一,1,40,1040,140,20,30,20,30,140,140
百香果树,基地名称一,1,41,1041,141,30,40,10,20,141,141
红心芭乐,基地名称一,1,42,1042,142,20,10,30,40,142,142
百香果树,基地名称一,1,43,1043,143,20,30,20,30,143,143
红心芭乐,基地名称一,1,44,1044,144,30,40,10,20,144,144
